company_age_months,monthly_burn_usd,runway_months,team_size,founder_exits,customer_growth_pct,support_tickets_last_30_days,annual_revenue_usd,market_segment,growth_stage,remote_friendly,investor_tier,churned
13,"$145,273",14,24.0, 0.0 ,unknown, 17.0 ,"3,126,598",SAAS,pre-seed,remote,Angel,0
93.0,"63,648", 7.39 ,17,1.0, -23 % ,24,"$1,153,242",Healthtech,Seed,No,TIER-2-VC,0
79.0," USD 89,312.78 ",20, 58.0 ,1.0, 18 % , 20.0 ,"$1,399,392", ai ,series-a,Yes, tier-2-vc ,0
54.0,"$19,429",n/a,25,0,6.28,25,"$372,627",ai,SERIES-A,yes,tier-2-vc,0
 53.0 ," USD 38,716.02 ", 13.48 ,48.0,1,12.3%,18," USD 442,214.30 ",AI, series-a ,remote,TIER-1-VC,0
103," USD 62,219.37 ",1,23,1.0, -6 % ,25," USD 536,416.25 ", fintech ,seed,TRUE, tier-2-vc ,0
 13.0 ,"$40,551", 8.08 ,30.0,1.0, 24 % ,15,"$719,648",FINTECH,SERIES-B,onsite,TIER-1-VC,1
84,"$108,328",, 8.0 , 2.0 ,-16.1%,9,"$1,297,474",ecommerce,seed,yes,Tier-1-Vc,0
26.0," USD 219,369.56 ", 19.06 ,20.0,0,32.35, 18.0 ,"3,452,608", ecommerce ,Seed,yes, tier-1-vc ,0
14.0,"38,287",19,29,0,2.63,18,"$630,910",Fintech,seed,yes,Angel,1
64.0,"$46,138",5.04,48.0,1.0, -15 % ,12,"784,001", ecommerce ,seed,FALSE, tier-2-vc ,0
117,"$83,241",14.51, 29.0 ,0.0,38.71,19," USD 1,644,108.97 ",saas,SEED,1,tier-2-vc,0
unknown,"177,391",18, 45.0 , 0.0 ,8.79,,"3,428,674",unknown,Pre-Seed,1,Tier-1-Vc,0
 92.0 ,"37,335",5, 35.0 ,1, 44 % ,,"$626,486", ecommerce ,series-a,FALSE, none ,0
86,"83,866",12.96,, 1.0 , 32 % ,20.0," USD 1,193,568.98 ",Ai,Pre-Seed,yes,Angel,0
94,"199,130",14,25.0,2,-4.4%,23,"$3,271,919",FINTECH, series-a ,onsite,ANGEL,0
,"$29,482",11.5,59.0,0, 8 % ,11.0,n/a,Ai,series-a,remote,ANGEL,1
17.0,"36,149",4,19.0, 0.0 ,12.2%, 26.0 ,"549,985", fintech ,seed,TRUE,Tier-2-Vc,0
 101.0 ,"57,931",11, 15.0 ,0.0,,23.0," USD 1,533,602.56 ",Saas,pre-seed,remote,None,0
55.0," USD 54,922.39 ",, 9.0 ,0, 18 % ,23.0,"$918,783",ai,SEED,onsite, angel ,0
61.0,"$114,340", 12.26 ,59.0, 2.0 ,13.17,13.0," USD 2,035,361.95 ", fintech ,SEED,remote,tier-2-vc,0
46,"83,526", 10.18 ,37,1.0,,28.0," USD 1,100,711.66 ", saas ,unknown,Yes, angel ,0
24," USD 27,550.36 ", 10.78 ,21,1.0,9.1%,16.0," USD 553,219.31 ", ai ,series-a,1,none,1
111.0,"97,098",13, 43.0 ,2,33.5%,10," USD 1,848,851.11 ",Fintech, series-a ,remote,tier-2-vc,0
94,"$53,229",15,36,1,10.07, 22.0 ," USD 1,015,040.53 ",,SEED,FALSE,tier-2-vc,0
78,"$147,406",11.48,54,1,,12," USD 2,485,201.05 ",FINTECH,SERIES-A,onsite, tier-1-vc ,0
50.0,,10.95, 4.0 ,1.0,-0.16,14," USD 1,042,751.94 ",AI,series-a,1,Tier-2-Vc,0
99.0,,13.46,, 0.0 ,0.0%, 24.0 ," USD 1,086,536.90 ",FINTECH,Pre-Seed,1,tier-1-vc,0
66,"$98,481",3.4,20.0,0,-15.24, 22.0 ," USD 1,687,221.31 ", saas ,PRE-SEED,Yes,,0
54,"111,258", 15.39 ,2.0, 0.0 ,-3.5%, 15.0 ,"$1,729,126",Healthtech,Pre-Seed,FALSE,tier-2-vc,0
55,"$93,569",13.0,41.0,2,36.97,18,"$1,831,921",SAAS,seed,remote, tier-2-vc ,0
29.0,"$28,938",13, 22.0 ,0.0,6.28, 19.0 ," USD 358,357.48 ",saas,SERIES-A,yes,Tier-2-Vc,0
 13.0 ," USD 98,313.73 ",, 36.0 ,1.0,22.68, 14.0 ," USD 1,290,678.23 ",ECOMMERCE,Seed,FALSE,unknown,0
67.0,"41,404", 3.24 ,59.0,0,-34.6%,21," USD 653,635.17 ",Ai,Seed,No,,0
 106.0 ,"$83,233",3.13, 21.0 ,1.0, 20 % ,19.0,"751,977",fintech,SERIES-B,Yes,None,0
10.0,"$33,421",14.37, 20.0 ,0.0, 7 % , 23.0 ,"645,376",Ecommerce, pre-seed ,Yes,tier-1-vc,1
 103.0 ,"$93,478",13,28, 0.0 ,1.3%,24,"1,135,598", healthtech ,Pre-Seed,0,TIER-2-VC,0
 99.0 ," USD 46,928.04 ", 13.85 ,40.0,0,13.26,,"662,344",Fintech,series-b,no, none ,0
35.0,"$36,118",10.69,18.0,1,1.1%,14,"$547,077",ECOMMERCE,SERIES-B,remote, tier-2-vc ,0
76.0," USD 108,293.57 ",16, 17.0 ,0,-28.2%,18,"1,749,715", saas , series-a ,TRUE,Tier-2-Vc,0
 22.0 ,"83,525", 17.66 ,41.0,0, 27 % ,13.0,"1,221,589",Saas,,TRUE, tier-2-vc ,0
91,"$52,173",15.42,31.0,0.0,14.37,20.0," USD 820,701.93 ",fintech,SERIES-B,TRUE,angel,0
 84.0 ,"$162,454",12, 2.0 ,2,4.35,12.0,n/a, ecommerce , series-a ,1, tier-1-vc ,0
44.0,"$57,391",2.46,9, 1.0 , -7 % ,17.0,,saas, series-a ,No,Tier-2-Vc,0
10.0,"$74,433",16.85, 47.0 ,1,-16.5%, 16.0 ,"960,728",Healthtech,unknown,Yes,Tier-2-Vc,0
 116.0 ,"84,787", 19.11 ,32.0, 0.0 , 14 % ,22.0,"1,723,380",Saas,seed,1, tier-2-vc ,0
55.0," USD 52,009.61 ", 16.22 , 15.0 , 1.0 ,39.0%, 13.0 ,"$394,356", ecommerce ,Series-A,onsite,TIER-2-VC,0
,"94,762", 8.6 ,24.0,3,13.66, 20.0 ,"1,438,218", ai ,series-a,TRUE,none,1
82,"54,535",16, 26.0 , 0.0 ,-14.9%,16.0,"$770,277",HEALTHTECH,seed,remote,tier-1-vc,0
 94.0 ,,unknown,36.0, 1.0 ,14.05,18.0," USD 1,030,711.11 ",saas, seed ,onsite,angel,0
,"154,733", 20.79 ,7.0,0,n/a, 15.0 ,"1,575,615",unknown,SERIES-A,Yes, tier-1-vc ,0
25.0,,8.62,14.0,2, 26 % ,18,"577,692",unknown,seed,No,TIER-1-VC,1
 45.0 ,"$19,399",12, 30.0 , 0.0 , 21 % , 22.0 ,"302,439",ECOMMERCE,seed,1,tier-2-vc,1
57.0,, 16.74 ,25, 0.0 ,-35.0%,20.0," USD 3,597,195.40 ",AI,PRE-SEED,Yes,Tier-2-Vc,0
61.0,"297,191", 13.29 ,34,1,19.81,19.0," USD 5,149,945.87 ",Fintech,PRE-SEED,FALSE,none,0
8.0," USD 58,518.72 ",7.41,9,0.0,-8.1%,19," USD 659,274.61 ",Ecommerce,,TRUE,,0
66,"$25,204",15.07, 31.0 ,0,-15.6%, 22.0 ,"$354,112",Fintech,Pre-Seed,1,tier-2-vc,0
21," USD 61,650.33 ",16,41, 0.0 , 7 % ,17.0," USD 1,204,906.65 ", saas ,PRE-SEED,1,,1
89,"62,478",n/a, 33.0 ,0, 17 % ,18,"699,565",Healthtech,Series-B,TRUE, none ,0
82,"65,877",14,28.0,0,-19.5%,15,"$1,033,306", saas ,SERIES-A,1, tier-1-vc ,0
 110.0 ,"$39,642",11.71,25,1.0,22.68,25.0,"632,821",ECOMMERCE, pre-seed ,No, angel ,0
90,"100,585",20, 14.0 , 1.0 ,23.7%,25.0," USD 1,454,144.35 ",Ecommerce,Seed,0,Angel,0
45,unknown, 8.5 , 25.0 ,1,, 22.0 ,, fintech ,series-a,yes,Angel,1
 116.0 ," USD 32,147.08 ",10.06,44.0,0.0,-5.62,22,, saas ,Seed,1,tier-2-vc,0
51.0,"$107,426",13.05,24.0, 0.0 , -8 % , 12.0 ,n/a,saas,Seed,Yes, angel ,1
 41.0 ,"226,155",17, 14.0 ,0,28.47,21,"$2,925,271",Ai,Seed,,Tier-2-Vc,0
108.0," USD 80,384.62 ",5.51, 19.0 ,0, -17 % ,18," USD 1,455,845.26 ", healthtech ,,Yes, angel ,1
46,"60,747",6, 29.0 , 2.0 ,29.2%,21.0,"1,183,541", ai ,series-a,0,None,1
11.0," USD 67,636.17 ",3, 21.0 ,0.0,, 17.0 ,"$923,108",FINTECH,PRE-SEED,remote,angel,1
57.0,"102,579", 13.16 ,33, 1.0 ,8.3%, 23.0 ,"1,618,823",Healthtech, seed ,unknown,None,0
 96.0 ,"28,230", 7.41 , 33.0 ,0,-20.75,19,"350,582",Saas,PRE-SEED,No, tier-2-vc ,0
n/a,"80,051",11, 38.0 ,1.0, 7 % , 19.0 ," USD 914,369.37 ",Saas, pre-seed ,remote,,1
 57.0 ,"58,997",16,46.0,1,21.0%,21.0,"1,188,627",ai,pre-seed,Yes, angel ,1
n/a,"$202,057",10,40,0.0, -14 % , 18.0 ,"2,785,149",FINTECH,series-a,0,Angel,0
83,"$66,450",14, 13.0 ,0,19.0%, 20.0 ,"421,662",fintech,Pre-Seed,onsite,Angel,1
58," USD 183,017.71 ",12, 13.0 ,1,11.6%,16.0,"4,220,649",HEALTHTECH, seed ,1,tier-2-vc,0
41," USD 39,852.59 ",16.36,25.0,2.0,-1.59,13.0,"$509,779", ai , pre-seed ,Yes,ANGEL,1
29.0,"101,012",15,20,0,25.38, 14.0 ,"1,516,642",Healthtech, series-a ,yes,Tier-1-Vc,1
69,"$87,175",10, 10.0 ,0,-29.64,22,"1,966,979", fintech ,seed,FALSE,None,1
 81.0 ,"$45,344",12.16,20.0, 0.0 ,16.2%, 13.0 ," USD 699,789.00 ",ai,series-b,remote,TIER-2-VC,0
unknown,"80,625", 18.22 ,19, 1.0 ,39.1%,,"$1,237,329",saas,SERIES-A,onsite,tier-2-vc,0
 54.0 ,"$142,470",n/a,17.0, 0.0 ,35.92,,"$1,579,607",Ai,Seed,0,None,0
21,"61,201", 6.02 , 22.0 ,1,17.02,29.0,"$579,000",saas,Series-A,0,,1
100.0,"$28,837",16, 42.0 ,0, 5 % , 23.0 ,n/a,ECOMMERCE,pre-seed,remote, tier-1-vc ,0
76.0,"72,427",, 29.0 , 0.0 ,-1.44, 16.0 ," USD 1,263,948.49 ",saas,SERIES-B,remote,TIER-2-VC,0
84.0,"$44,519",20, 61.0 ,1.0,4.55,15," USD 766,707.64 ", ecommerce ,SERIES-B,Yes,Tier-1-Vc,0
 14.0 ,"$60,580", 18.12 , 28.0 ,0.0,19.8%,9.0,"852,654",SAAS, seed ,yes,TIER-2-VC,0
 39.0 ," USD 69,921.38 ",14,, 1.0 ,,20.0," USD 1,124,407.87 ",Ai, seed ,yes,ANGEL,1
92.0,"$28,621",14,26, 0.0 ,23.63, 14.0 ,"247,604",healthtech,Pre-Seed,No, tier-1-vc ,0
 100.0 ,"30,073", 11.95 , 30.0 ,0.0,48.4%,25," USD 536,525.03 ",Fintech,Seed,Yes, angel ,0
 53.0 ,"95,334", 16.39 , 32.0 ,0,8.89, 16.0 ,"1,586,886",Fintech,series-a,Yes,Tier-2-Vc,0
97.0,"54,858", 11.15 ,55.0,0.0,-14.2,15.0,n/a,Healthtech,Series-B,TRUE, tier-2-vc ,0
101.0,"17,843",14.18,14.0,0.0,-14.2%,17.0,"$286,029",FINTECH,SEED,No, tier-1-vc ,0
48,"$112,608", 17.36 , 38.0 ,1.0,24.0%,24.0,"1,377,114", ai , series-a ,1,tier-1-vc,0
 108.0 ," USD 84,948.75 ",10,29, 1.0 ,8.9%,27,"$1,341,944",fintech,series-a,FALSE,None,0
36.0,"49,383",9.92, 4.0 ,0,25.78,16," USD 725,382.37 ",healthtech, pre-seed ,0,TIER-2-VC,0
,"$35,445",7,37,0,,5,"628,757",saas,,TRUE,angel,0
,"$115,809",7.68,44, 0.0 ,24.9%,16.0," USD 1,865,395.37 ",Fintech,series-a,onsite,tier-2-vc,0
 77.0 ,"88,623",4, 14.0 ,0,,," USD 971,323.23 ",SAAS,series-a,TRUE,tier-2-vc,0
 19.0 ,"271,151", 16.65 , 26.0 ,0, -3 % , 22.0 ," USD 2,564,282.58 ",healthtech,series-b,unknown,Angel,0
100.0,"$92,144",22.04,n/a,2,2.8%,16,"1,571,199", saas ,pre-seed,Yes, tier-1-vc ,0
26.0," USD 90,511.91 ", 20.13 , 8.0 ,0.0,-11.55,17,"1,948,944",saas,PRE-SEED,Yes,angel,0
97,"$66,715",5,41,0.0, 46 % ,22,"1,088,620",SAAS, pre-seed ,onsite,TIER-2-VC,0
3.0," USD 114,602.71 ",n/a,19,1,8.3%,24.0,"$2,206,468",saas, pre-seed ,no, tier-1-vc ,0
96,n/a, 20.11 ,10.0,0.0,21.6, 21.0 ," USD 2,067,990.02 ",Healthtech,SEED,TRUE, tier-2-vc ,0
 95.0 ,"145,575",11,29.0, 0.0 , 0 % ,19.0,"$2,484,558",Ecommerce,Series-A,Yes,Tier-2-Vc,0
94.0,"$54,900",13.51,19, 0.0 ,-8.9%,10,"699,540",healthtech,seed,TRUE,None,1
 80.0 ,"$57,557",3, 19.0 ,0,n/a,24.0,"$965,872",HEALTHTECH, series-a ,yes,Angel,1
 58.0 ," USD 56,189.95 ",14, 36.0 , 2.0 , 30 % ,21,"1,170,341",AI,,onsite, none ,0
 85.0 ,"$112,977",7.68, 10.0 ,0, 1 % ,17.0,"$2,047,097",HEALTHTECH,SEED,Yes,ANGEL,0
35.0," USD 166,725.82 ", 14.0 ,13,0.0, -6 % ,22,"$3,166,620", ecommerce ,,No,Angel,0
94.0,"$56,820", 5.19 ,28.0,0.0,12.8,20,"$803,988",HEALTHTECH,series-a,yes, tier-2-vc ,0
68,"57,894",16,, 0.0 , 19 % ,," USD 879,448.49 ",SAAS,SEED,FALSE,Tier-2-Vc,0
56.0,"86,920", 18.12 ,43,0.0,39.57,21.0," USD 1,349,439.59 ",healthtech,Series-B,1,None,0
62,"$63,884", 9.08 ,17.0,2,16.4%,12,"$1,009,032",Ai,SEED,, tier-2-vc ,0
69.0,"$123,455",n/a,39,1,21.59,25.0,"$2,552,035", saas ,pre-seed,no,TIER-1-VC,0
7," USD 21,195.04 ", 2.22 ,15,0.0,22.95, 23.0 ,"$140,127", saas ,Seed,TRUE,Angel,0
19,"$46,412", 11.67 ,52.0,0,-10.75,n/a,"$748,261",Healthtech, series-a ,remote,Tier-2-Vc,1
 31.0 ,"$47,556",10.09,10.0, 1.0 ,-7.3%, 27.0 ,"$745,780",,Seed,FALSE, none ,1
16,"$20,410", 5.24 ,45,1.0,-9.5%,16," USD 214,595.78 ", saas ,Series-A,TRUE,TIER-2-VC,1
 54.0 ,"43,045",15,17.0, 0.0 , -14 % ,25.0,"$804,383",unknown,seed,yes,,0
n/a,"$44,208",11,54.0,0.0, 24 % ,21,, ai ,seed,yes,none,0
79," USD 65,472.96 ",7.62,,1,15.2%, 15.0 ,"$954,063",,,1, angel ,0
58.0,,10, 12.0 ,0.0,11.4%,16," USD 3,155,504.73 ",FINTECH, seed ,onsite,Tier-1-Vc,0
,,18, 19.0 ,0.0,-35.0,14,"$1,280,731",SAAS, seed ,onsite,unknown,0
69,"41,484",16,37.0, 2.0 ,47.0%,7,"759,064",ECOMMERCE,Pre-Seed,remote,TIER-2-VC,0
 12.0 ,n/a,12, 41.0 , 1.0 , -6 % , 21.0 ," USD 1,241,952.70 ", ecommerce ,Seed,Yes,Tier-2-Vc,1
 92.0 ," USD 130,228.45 ",16.1,25,1,46.9%, 22.0 ,"1,997,871",AI, seed ,yes, none ,0
70,"42,754",7,27.0,0.0, -16 % ,19.0,"$1,025,994",fintech,pre-seed,TRUE,Tier-2-Vc,1
77," USD 44,319.67 ", 13.16 ,37.0,1.0, -5 % ,26," USD 851,321.89 ", healthtech ,SEED,0,Tier-2-Vc,1
 69.0 ,"99,429", 13.74 ,, 0.0 ,-29.6%,," USD 1,292,759.66 ", fintech , pre-seed ,yes,None,0
67.0,"64,741", 10.65 ,8, 2.0 ,16.5%, 16.0 ,"673,283", saas ,,No,Tier-1-Vc,0
13,"$104,414", 15.18 , 15.0 ,1,-9.82, 17.0 ," USD 1,907,362.59 ",ECOMMERCE,seed,No,angel,1
68," USD 72,583.60 ", 9.1 ,29.0,0.0,-9.31,18.0,"1,145,117",Saas, pre-seed ,no, tier-2-vc ,0
96.0," USD 107,571.93 ",15.55,43,1.0, -15 % ,20,"1,106,296",fintech,SEED,1,ANGEL,0
 38.0 ,unknown,,49, 1.0 , 24 % ,23.0," USD 733,132.54 ", ai ,series-a,1,none,0
," USD 72,645.99 ", 1.0 , 37.0 ,0.0, 23 % ,23,"$1,084,161",unknown, seed ,onsite,Tier-2-Vc,1
6,"65,129", 18.95 ,30,0.0, 43 % , 20.0 ," USD 1,180,305.15 ", ai ,pre-seed,remote, tier-2-vc ,0
43," USD 37,468.65 ", 1.0 , 36.0 ,0.0,-2.34,16," USD 665,704.12 ", ecommerce ,,unknown, angel ,0
 54.0 ,"30,949", 9.92 ,17,2.0,13.9%, 17.0 ,"$419,880",Ai,Pre-Seed,no,tier-2-vc,1
117.0," USD 106,634.46 ",18.13, 24.0 ,0.0,-13.21, 14.0 ,"1,976,084",ai,unknown,,Angel,0
 28.0 ,"$60,293",11.41,14, 0.0 , 4 % , 19.0 ,"$844,611",ECOMMERCE, series-a ,1,Angel,1
 35.0 ,"$41,679", 5.67 ,9.0,0.0,0.7%, 23.0 ,"594,692",saas,Seed,No,Tier-2-Vc,0
 50.0 ,"69,362", 7.53 ,31.0,0,18.4%,19,"$962,121",Healthtech,SEED,1,TIER-2-VC,0
119," USD 136,000.03 ",18.13,29.0,2,28.3%,18," USD 2,791,250.67 ",Healthtech,SERIES-B,unknown, angel ,0
102.0,"$20,860",3, 36.0 , 0.0 , 28 % , 20.0 ,"$310,351",AI, pre-seed ,,Tier-2-Vc,0
7.0,"32,108",19,34,1,-5.2%,18.0,"689,986",, series-b ,remote, tier-2-vc ,0
 30.0 ,"$44,021", 12.72 ,,0.0,27.97,," USD 1,018,369.36 ",Healthtech,Series-A,Yes, tier-1-vc ,0
 99.0 ,"$163,350",7,34, 0.0 , 9 % ,20," USD 2,130,916.57 ",Fintech,SEED,,tier-2-vc,0
 9.0 ,"85,427",10,, 0.0 ,unknown, 22.0 ,"$368,707",, pre-seed ,0,angel,1
103," USD 111,527.28 ",7.91, 32.0 ,0, -3 % ,,"$2,250,402",fintech,Pre-Seed,remote, angel ,0
35.0," USD 39,062.24 ",17,16.0, 1.0 ,-0.1%,17.0,"571,563",HEALTHTECH, series-b ,,tier-1-vc,0
110,"39,508", 16.66 ,,1,41.36, 23.0 ,, healthtech ,Pre-Seed,Yes,tier-1-vc,0
37,"$93,554", 4.4 ,35,1.0,15.53,17,"$1,276,561", ai ,series-a,Yes,Angel,0
53,, 10.98 ,17,0.0,,17,"1,082,903",unknown, seed ,FALSE,angel,0
 80.0 ,"98,894", 8.68 ,27.0, 0.0 ,5.28, 15.0 ,n/a, fintech ,seed,TRUE,unknown,0
17.0,"65,958",19.47,17.0, 0.0 ,n/a,13," USD 1,097,525.93 ",Healthtech,seed,No, tier-1-vc ,0
 68.0 ,"85,219",6.25,19.0,0, 33 % ,17,"$1,801,051",saas,Pre-Seed,,TIER-1-VC,0
62,"79,775",, 10.0 ,1,-2.98,17,"1,434,106", saas , seed ,1,Tier-2-Vc,0
94.0," USD 112,170.14 ", 12.83 ,44.0, 0.0 , 5 % ,17.0," USD 1,655,976.36 ",Saas,Series-B,yes,angel,0
119," USD 113,988.69 ",7,41.0,0.0,6.1%, 17.0 ,"$1,645,834", fintech , pre-seed ,FALSE, tier-1-vc ,0
," USD 30,003.53 ", 9.61 ,34, 2.0 ,12.6%, 17.0 ,"547,458",Ecommerce,Series-B,onsite, none ,0
